id,account_id,system_required,sub_account_editable,created_at,updated_at
1,1,1,1,2007-09-25 19:34:24,2009-01-17 15:16:01
2,55,0,1,2007-09-29 17:31:11,2009-01-17 15:16:01
3,2,1,1,2007-03-29 22:48:12,2009-01-17 15:16:02
4,3,1,1,2007-03-29 22:48:12,2009-01-17 15:16:02
5,4,0,1,2007-03-29 22:48:12,2009-01-17 15:16:02
6,5,1,1,2007-03-29 22:48:12,2009-01-17 15:16:02
7,6,0,1,2007-03-29 22:48:12,2009-01-17 15:16:02
8,7,0,1,2007-03-29 22:48:12,2009-01-17 15:16:02
9,8,1,1,2007-03-29 22:48:12,2009-01-17 15:16:02
10,9,1,1,2007-03-29 22:48:12,2009-01-17 15:16:02
11,56,0,1,2007-09-29 17:51:08,2009-01-17 15:16:02
12,53,0,1,2007-09-29 17:25:33,2009-01-17 15:16:02
13,11,1,1,2007-09-29 17:25:33,2009-01-17 15:16:02
14,10,0,1,2007-03-29 22:48:12,2009-01-17 15:16:02
15,12,0,1,2007-03-29 22:48:12,2009-01-17 15:16:04
16,13,1,1,2007-03-29 22:48:12,2009-01-17 15:16:04
17,14,0,1,2007-03-29 22:48:12,2009-01-17 15:16:04
18,15,0,1,2007-03-29 22:48:12,2009-01-17 15:16:04
19,16,0,1,2007-03-29 22:48:12,2007-10-11 23:06:39
20,18,1,1,2007-03-29 22:48:12,2009-01-17 15:16:04
21,19,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
22,20,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
23,21,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
24,22,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
25,23,1,1,2007-03-29 22:48:12,2010-03-12 12:00:00
26,24,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
27,25,0,1,2007-03-29 22:48:12,2009-01-17 15:16:02
28,26,0,1,2007-03-29 22:48:12,2009-01-17 15:16:02
29,27,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
30,28,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
31,29,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
32,30,0,1,2007-03-29 22:48:12,2009-01-17 15:16:02
33,31,1,1,2007-03-29 22:48:12,2009-01-17 15:16:03
34,32,0,1,2007-03-29 22:48:12,2009-01-17 15:16:03
35,34,0,1,2007-04-15 02:42:50,2009-01-17 15:16:03
36,35,0,1,2007-04-16 19:52:12,2009-01-17 15:16:03
37,36,0,1,2007-04-16 20:15:44,2009-01-17 15:16:02
38,37,0,1,2007-04-16 22:54:19,2009-01-17 15:16:03
39,38,0,1,2007-04-22 21:33:30,2009-01-17 15:16:03
40,39,1,1,2007-04-28 17:31:54,2009-01-17 15:16:04
41,40,0,1,2007-06-18 20:09:59,2009-01-17 15:16:03
42,41,1,1,2007-06-18 20:16:43,2009-01-17 15:16:04
43,42,0,1,2007-06-28 19:21:07,2009-01-17 15:16:03
44,43,0,1,2007-08-15 15:09:08,2009-01-17 15:16:03
45,45,1,1,2007-09-25 19:34:24,2009-01-17 15:16:03
46,46,1,1,2007-09-25 19:34:24,2009-01-17 15:16:04
47,33,1,1,2007-04-10 21:47:54,2009-01-17 15:16:04
48,90,1,1,2010-04-12 00:00:00,2010-04-12 00:00:00
49,91,1,1,2010-04-12 00:00:00,2010-04-12 00:00:00
50,47,1,1,2007-09-25 19:34:24,2009-01-17 15:16:04
51,48,1,1,2007-09-25 19:34:24,2009-01-17 15:16:02
52,49,1,1,2007-09-29 17:15:16,2009-01-17 15:16:02
53,50,1,1,2007-09-29 17:17:26,2009-01-17 15:16:02
54,51,1,1,2007-09-29 17:21:55,2009-01-17 15:16:03
55,52,0,1,2007-09-29 17:23:08,2009-01-17 15:16:03
56,54,0,1,2007-09-29 17:26:21,2009-01-17 15:16:02
57,57,1,1,2007-09-29 18:22:04,2003-01-20 10:55:05
58,58,1,1,2007-09-30 00:38:19,2009-01-17 15:16:05
59,59,1,1,2007-09-30 00:40:29,2009-01-17 15:16:04
60,60,1,1,2007-09-30 00:42:55,2009-01-17 15:16:03
61,61,0,1,2007-10-11 23:05:53,2009-01-17 15:16:04
62,62,1,1,2007-10-11 23:06:11,2009-01-17 15:16:04
63,63,1,1,2007-11-21 20:38:50,2009-01-17 15:16:02
64,64,0,1,2007-12-22 06:43:15,2009-01-17 15:16:05
65,65,1,0,2008-05-24 07:32:53,2009-01-17 15:16:03
66,66,0,1,2008-05-24 07:32:54,2009-01-17 15:16:04
67,67,0,1,2008-08-21 13:47:32,2009-01-17 15:16:03
68,68,0,1,2008-08-26 21:12:14,2009-01-17 15:16:04
69,69,0,1,2008-09-23 14:17:01,2009-01-17 15:16:03
70,70,0,1,2008-11-17 23:26:15,2009-01-17 15:16:02
71,71,1,1,2008-11-26 21:54:53,2009-01-17 15:16:02
72,72,1,1,2008-11-26 21:54:53,2009-01-17 15:16:04
73,73,1,1,2008-11-26 21:54:56,2009-01-17 15:16:03
74,74,1,1,2008-11-26 21:54:56,2009-01-17 15:16:03
75,75,0,1,2009-01-04 19:43:45,2009-01-17 15:16:03
76,76,1,1,2003-01-20 10:55:05,2009-01-17 15:16:04
77,77,1,1,2003-01-20 10:55:06,2009-01-17 15:16:04
78,78,0,1,2009-01-17 14:26:20,2009-01-17 15:16:04
79,79,0,1,2009-01-17 14:30:22,2009-01-17 15:16:04
80,80,0,1,2009-01-17 14:31:16,2009-01-17 15:16:04
81,81,0,1,2009-01-17 14:32:58,2009-01-17 15:16:04
82,82,0,1,2009-01-17 14:33:31,2009-01-17 15:16:04
83,83,0,1,2009-07-18 21:54:09,2009-07-18 21:59:38
84,84,0,1,2009-07-18 21:55:13,2009-07-18 21:59:45
85,85,0,1,2009-07-18 21:56:10,2009-07-18 22:00:11
